capa_id,investigation_id,capa_number,action_type,owner_function,due_date,status,effectiveness
1,4656,CAPA-000001,Corrective and Preventive,MSAT,2024-07-11,Monitoring,Monitoring
2,2104,CAPA-000002,Corrective,Supplier Quality,2024-10-26,Closed,Effective
3,3326,CAPA-000003,Preventive,MSAT,2026-06-25,Closed,Effective
4,6250,CAPA-000004,Corrective and Preventive,Supplier Quality,2026-07-23,Closed,Effective
5,8343,CAPA-000005,Corrective and Preventive,Laboratory,2026-08-16,Open,Effective
6,8462,CAPA-000006,Corrective,Laboratory,2026-05-04,Monitoring,Effective
7,4412,CAPA-000007,Preventive,Manufacturing,2026-07-19,Closed,Monitoring
8,4600,CAPA-000008,Corrective,MSAT,2024-12-14,Closed,Monitoring
9,1550,CAPA-000009,Preventive,Manufacturing,2026-08-11,Closed,Effective
10,10484,CAPA-000010,Corrective and Preventive,MSAT,2025-03-04,Monitoring,Effective
11,3004,CAPA-000011,Corrective,Supplier Quality,2025-02-22,Closed,Effective
12,3646,CAPA-000012,Corrective and Preventive,MSAT,2024-11-24,Open,Ineffective
13,8019,CAPA-000013,Corrective and Preventive,Quality,2024-09-22,Monitoring,Effective
14,10279,CAPA-000014,Corrective,Quality,2026-07-09,Closed,Effective
15,11100,CAPA-000015,Corrective,Laboratory,2024-09-07,Closed,Ineffective
16,6427,CAPA-000016,Corrective and Preventive,Manufacturing,2025-10-23,Monitoring,Monitoring
17,9767,CAPA-000017,Corrective,MSAT,2026-11-09,Open,Monitoring
18,7302,CAPA-000018,Preventive,Quality,2024-09-10,Closed,Monitoring
19,4535,CAPA-000019,Corrective and Preventive,Quality,2024-07-26,Closed,Effective
20,5214,CAPA-000020,Corrective,MSAT,2025-07-01,Closed,Monitoring
21,3342,CAPA-000021,Corrective and Preventive,MSAT,2024-12-25,Open,Monitoring
22,5793,CAPA-000022,Corrective,Quality,2025-04-21,Closed,Effective
23,9202,CAPA-000023,Preventive,Supplier Quality,2024-10-21,Monitoring,Monitoring
24,11584,CAPA-000024,Preventive,Laboratory,2024-09-22,Monitoring,Effective
25,10817,CAPA-000025,Corrective,Laboratory,2025-05-29,Closed,Effective
26,4086,CAPA-000026,Corrective and Preventive,MSAT,2025-02-24,Closed,Monitoring
27,2896,CAPA-000027,Corrective,MSAT,2025-03-01,Closed,Ineffective
28,7805,CAPA-000028,Preventive,MSAT,2025-06-06,Monitoring,Not Assessed
29,11992,CAPA-000029,Corrective and Preventive,Manufacturing,2024-10-13,Closed,Effective
30,3728,CAPA-000030,Corrective,Supplier Quality,2025-08-10,Closed,Effective
31,428,CAPA-000031,Preventive,Laboratory,2025-12-13,Open,Effective
32,2448,CAPA-000032,Corrective and Preventive,Laboratory,2025-09-25,Closed,Effective
33,2475,CAPA-000033,Corrective and Preventive,Quality,2025-01-18,Closed,Effective
34,6977,CAPA-000034,Corrective,Manufacturing,2026-10-18,Closed,Ineffective
