change_control_id,material_id,supplier_id,change_number,change_type,risk_level,status,opened_date
1,75,21,CC-000001,Method,Low,Implemented,2024-02-07
2,93,56,CC-000002,Storage,Low,Implemented,2025-10-17
3,237,46,CC-000003,Specification,Low,Approved,2025-08-05
4,291,51,CC-000004,Packaging,Low,Implemented,2024-01-08
5,262,84,CC-000005,Specification,Medium,Implemented,2026-03-21
6,21,111,CC-000006,Supplier Site,Low,Approved,2024-12-02
7,71,68,CC-000007,Packaging,Medium,Proposed,2024-10-18
8,8,36,CC-000008,Method,Medium,Implemented,2025-10-12
9,255,29,CC-000009,Specification,High,Implemented,2025-11-30
10,38,23,CC-000010,Method,Medium,Implemented,2026-04-17
11,13,114,CC-000011,Supplier Site,Medium,Implemented,2024-04-30
12,140,22,CC-000012,Storage,Low,Implemented,2025-01-09
13,133,3,CC-000013,Specification,High,Implemented,2025-12-08
14,177,29,CC-000014,Process,Low,Approved,2026-03-25
15,25,66,CC-000015,Specification,Medium,Implemented,2025-07-24
16,68,69,CC-000016,Supplier Site,Low,Implemented,2024-04-11
17,241,37,CC-000017,Method,High,Approved,2024-10-02
18,72,18,CC-000018,Process,Medium,Implemented,2025-04-21
19,240,84,CC-000019,Specification,Medium,Implemented,2025-03-03
20,111,18,CC-000020,Method,Low,Implemented,2024-06-12
21,199,59,CC-000021,Method,Low,Implemented,2024-04-17
22,7,104,CC-000022,Packaging,Medium,Implemented,2025-05-19
23,145,5,CC-000023,Specification,Medium,Implemented,2026-01-30
24,102,39,CC-000024,Specification,Low,Implemented,2024-05-21
25,259,35,CC-000025,Packaging,Medium,Approved,2024-07-23
26,119,12,CC-000026,Specification,Low,Implemented,2025-04-20
27,153,93,CC-000027,Specification,Low,Implemented,2025-05-31
28,256,105,CC-000028,Process,Medium,Implemented,2024-07-16
29,4,3,CC-000029,Process,Medium,Approved,2026-01-14
30,177,92,CC-000030,Process,Medium,Rejected,2026-02-12
31,43,71,CC-000031,Storage,Low,Implemented,2025-07-20
32,188,106,CC-000032,Method,Medium,Implemented,2024-02-14
33,75,117,CC-000033,Packaging,Medium,Implemented,2025-03-18
34,9,105,CC-000034,Specification,Low,Approved,2024-03-20
35,16,35,CC-000035,Storage,Low,Proposed,2025-07-29
36,210,10,CC-000036,Process,Medium,Proposed,2025-11-25
37,276,23,CC-000037,Specification,Low,Implemented,2024-08-01
38,142,58,CC-000038,Storage,Medium,Approved,2024-11-21
39,113,45,CC-000039,Supplier Site,Medium,Implemented,2024-11-15
40,288,75,CC-000040,Supplier Site,Low,Implemented,2024-09-06
41,94,40,CC-000041,Storage,Low,Implemented,2025-12-06
42,207,74,CC-000042,Process,Low,Proposed,2024-02-08
43,177,2,CC-000043,Supplier Site,Low,Implemented,2024-04-15
44,154,62,CC-000044,Method,Low,Rejected,2024-06-25
45,44,94,CC-000045,Specification,High,Implemented,2026-03-18
46,250,43,CC-000046,Storage,High,Implemented,2024-02-26
47,145,6,CC-000047,Storage,Low,Approved,2024-12-28
48,202,104,CC-000048,Storage,High,Implemented,2025-08-06
49,293,119,CC-000049,Storage,Low,Implemented,2025-04-02
50,218,17,CC-000050,Packaging,Low,Implemented,2024-11-05
51,167,101,CC-000051,Process,Medium,Approved,2025-07-15
52,116,59,CC-000052,Specification,Medium,Implemented,2025-10-31
53,12,39,CC-000053,Supplier Site,High,Proposed,2025-07-13
54,298,114,CC-000054,Packaging,Medium,Approved,2025-01-03
55,201,12,CC-000055,Specification,Low,Proposed,2024-04-28
56,120,75,CC-000056,Method,Medium,Implemented,2024-01-06
57,264,51,CC-000057,Packaging,Medium,Approved,2024-09-13
58,208,119,CC-000058,Method,Medium,Proposed,2026-03-31
59,128,56,CC-000059,Method,Low,Implemented,2025-04-03
60,295,65,CC-000060,Storage,Medium,Implemented,2025-10-04
61,253,78,CC-000061,Method,High,Proposed,2024-07-07
62,198,40,CC-000062,Packaging,Low,Approved,2024-12-09
63,161,26,CC-000063,Specification,Low,Approved,2024-09-11
64,112,96,CC-000064,Storage,High,Implemented,2025-10-13
65,174,120,CC-000065,Packaging,High,Approved,2024-04-28
66,9,90,CC-000066,Process,Medium,Approved,2024-07-22
67,283,113,CC-000067,Supplier Site,Medium,Proposed,2026-02-01
68,41,80,CC-000068,Storage,Medium,Implemented,2024-03-23
69,265,55,CC-000069,Process,Low,Implemented,2025-01-23
70,219,88,CC-000070,Supplier Site,Medium,Implemented,2025-12-05
71,237,85,CC-000071,Method,Medium,Implemented,2026-02-07
72,123,79,CC-000072,Supplier Site,Low,Implemented,2024-03-03
73,137,75,CC-000073,Storage,Medium,Implemented,2025-09-15
74,271,25,CC-000074,Supplier Site,Medium,Implemented,2024-03-13
75,162,43,CC-000075,Process,Medium,Implemented,2025-12-12
76,251,45,CC-000076,Packaging,Low,Approved,2025-10-22
77,1,91,CC-000077,Process,Low,Implemented,2025-06-17
78,122,70,CC-000078,Specification,Low,Rejected,2025-03-11
79,189,113,CC-000079,Storage,Low,Implemented,2025-05-09
80,264,46,CC-000080,Method,High,Approved,2025-10-11
81,36,44,CC-000081,Method,Low,Implemented,2025-10-06
82,115,78,CC-000082,Packaging,Medium,Approved,2024-05-02
83,50,39,CC-000083,Supplier Site,Medium,Approved,2024-04-24
84,22,114,CC-000084,Storage,Medium,Implemented,2024-10-19
85,4,35,CC-000085,Method,Low,Implemented,2025-12-08
86,194,9,CC-000086,Method,Medium,Implemented,2025-09-02
87,278,109,CC-000087,Process,Low,Rejected,2024-11-28
88,25,25,CC-000088,Specification,Medium,Approved,2026-03-11
89,200,91,CC-000089,Packaging,Low,Implemented,2024-03-20
90,87,72,CC-000090,Packaging,Low,Approved,2024-04-04
91,241,104,CC-000091,Supplier Site,Medium,Implemented,2024-03-30
92,202,114,CC-000092,Specification,Medium,Implemented,2025-10-29
93,146,77,CC-000093,Storage,Medium,Proposed,2024-09-10
94,206,38,CC-000094,Storage,Low,Approved,2024-01-06
95,189,100,CC-000095,Method,Medium,Implemented,2024-08-10
96,171,33,CC-000096,Method,High,Rejected,2024-09-04
97,118,106,CC-000097,Process,Low,Implemented,2024-04-02
98,54,66,CC-000098,Packaging,Low,Implemented,2025-08-27
99,273,26,CC-000099,Storage,Medium,Implemented,2026-02-20
100,141,68,CC-000100,Specification,Low,Implemented,2026-03-04
101,246,45,CC-000101,Process,Low,Implemented,2024-02-29
102,139,43,CC-000102,Process,Low,Implemented,2024-05-24
103,96,39,CC-000103,Method,Medium,Approved,2024-01-06
104,201,48,CC-000104,Process,High,Implemented,2024-01-29
105,62,73,CC-000105,Packaging,Low,Implemented,2025-10-13
106,166,28,CC-000106,Storage,Low,Proposed,2024-04-23
107,90,109,CC-000107,Method,Medium,Implemented,2025-09-18
108,138,66,CC-000108,Storage,Medium,Implemented,2025-07-18
109,15,106,CC-000109,Specification,Low,Implemented,2026-01-03
110,10,70,CC-000110,Supplier Site,Low,Approved,2026-01-22
111,189,40,CC-000111,Supplier Site,Low,Implemented,2024-04-26
112,172,113,CC-000112,Process,Low,Implemented,2024-04-29
113,73,21,CC-000113,Packaging,Medium,Implemented,2024-11-25
114,80,30,CC-000114,Method,Medium,Implemented,2026-01-14
115,70,68,CC-000115,Specification,Medium,Approved,2024-06-01
116,118,59,CC-000116,Storage,Low,Rejected,2024-06-25
117,82,16,CC-000117,Storage,Medium,Proposed,2024-11-30
118,52,89,CC-000118,Method,Medium,Implemented,2025-12-01
119,152,5,CC-000119,Storage,Medium,Implemented,2025-08-25
120,175,31,CC-000120,Storage,Medium,Implemented,2025-11-14
121,191,112,CC-000121,Specification,Low,Implemented,2026-03-19
122,77,46,CC-000122,Storage,Medium,Approved,2024-09-25
123,288,81,CC-000123,Supplier Site,Low,Approved,2024-08-01
124,192,114,CC-000124,Packaging,Medium,Approved,2025-10-07
125,32,52,CC-000125,Supplier Site,Low,Implemented,2024-12-20
126,260,22,CC-000126,Process,Medium,Approved,2024-03-08
127,54,81,CC-000127,Method,Medium,Implemented,2026-02-08
128,146,118,CC-000128,Supplier Site,Low,Implemented,2025-10-11
129,293,48,CC-000129,Storage,Low,Proposed,2026-04-08
130,239,103,CC-000130,Method,Medium,Implemented,2025-01-07
131,171,46,CC-000131,Method,Low,Implemented,2024-10-17
132,287,19,CC-000132,Packaging,Medium,Implemented,2025-12-08
133,20,99,CC-000133,Supplier Site,Low,Proposed,2024-07-23
134,236,51,CC-000134,Storage,Medium,Implemented,2026-02-14
135,237,99,CC-000135,Storage,Medium,Proposed,2024-09-23
136,143,68,CC-000136,Supplier Site,High,Approved,2026-03-20
137,220,60,CC-000137,Method,Low,Proposed,2024-11-12
138,265,47,CC-000138,Method,Medium,Implemented,2026-04-02
139,178,110,CC-000139,Packaging,Medium,Approved,2026-01-08
140,143,76,CC-000140,Process,Medium,Approved,2025-01-13
141,244,15,CC-000141,Packaging,Medium,Implemented,2026-01-06
142,137,99,CC-000142,Storage,Low,Implemented,2025-08-20
143,208,104,CC-000143,Packaging,Medium,Implemented,2026-02-27
144,11,19,CC-000144,Specification,Low,Approved,2024-05-22
145,247,12,CC-000145,Storage,Low,Implemented,2024-04-26
146,207,67,CC-000146,Storage,Low,Implemented,2025-05-13
147,202,109,CC-000147,Process,Medium,Implemented,2024-11-24
148,45,103,CC-000148,Packaging,Low,Implemented,2024-09-04
149,256,23,CC-000149,Supplier Site,Medium,Implemented,2026-04-22
150,19,7,CC-000150,Process,Low,Implemented,2025-10-08
151,10,8,CC-000151,Process,Medium,Implemented,2025-11-27
152,59,105,CC-000152,Packaging,High,Implemented,2024-03-27
153,10,107,CC-000153,Packaging,Medium,Implemented,2025-12-21
154,91,119,CC-000154,Storage,Low,Implemented,2024-11-16
155,215,4,CC-000155,Storage,Low,Implemented,2024-05-24
156,42,81,CC-000156,Storage,Medium,Implemented,2025-10-23
157,145,86,CC-000157,Specification,High,Implemented,2025-09-23
158,214,118,CC-000158,Supplier Site,Low,Approved,2024-01-29
159,143,85,CC-000159,Supplier Site,Medium,Implemented,2025-08-14
160,157,46,CC-000160,Method,Low,Rejected,2026-03-31
161,175,56,CC-000161,Supplier Site,Low,Implemented,2025-07-18
162,265,20,CC-000162,Method,High,Implemented,2025-11-19
163,180,70,CC-000163,Storage,High,Proposed,2025-12-29
164,146,21,CC-000164,Supplier Site,Low,Approved,2024-12-09
165,257,63,CC-000165,Specification,Medium,Proposed,2025-11-15
166,299,65,CC-000166,Storage,Low,Implemented,2024-05-15
167,284,59,CC-000167,Packaging,Low,Implemented,2024-12-26
168,223,112,CC-000168,Storage,High,Implemented,2025-06-20
169,36,24,CC-000169,Method,Low,Proposed,2026-04-24
170,23,92,CC-000170,Supplier Site,Medium,Implemented,2025-03-25
171,235,62,CC-000171,Storage,Low,Implemented,2024-12-15
172,204,29,CC-000172,Specification,Medium,Proposed,2024-02-21
173,158,54,CC-000173,Packaging,High,Implemented,2024-02-05
174,55,70,CC-000174,Supplier Site,Medium,Implemented,2024-11-29
175,243,6,CC-000175,Packaging,High,Implemented,2024-02-01
176,110,29,CC-000176,Packaging,Low,Proposed,2026-01-31
177,269,58,CC-000177,Method,Medium,Proposed,2025-10-14
178,194,29,CC-000178,Specification,High,Proposed,2025-06-17
179,13,109,CC-000179,Packaging,High,Implemented,2025-11-27
180,47,77,CC-000180,Storage,Medium,Proposed,2025-07-03
181,91,41,CC-000181,Specification,Medium,Approved,2026-02-01
182,95,72,CC-000182,Specification,High,Proposed,2025-06-07
183,136,40,CC-000183,Process,Low,Implemented,2024-02-16
184,137,84,CC-000184,Storage,Low,Implemented,2025-06-12
185,199,98,CC-000185,Process,Low,Proposed,2026-01-17
186,66,53,CC-000186,Process,Low,Implemented,2025-06-03
187,66,11,CC-000187,Process,Medium,Implemented,2024-11-15
188,218,41,CC-000188,Process,Low,Implemented,2024-10-16
189,95,89,CC-000189,Specification,Medium,Implemented,2024-01-02
190,293,56,CC-000190,Packaging,High,Approved,2025-01-19
191,52,90,CC-000191,Packaging,Low,Proposed,2025-10-25
192,6,70,CC-000192,Storage,Medium,Approved,2024-09-02
193,295,82,CC-000193,Storage,High,Approved,2024-04-06
194,61,27,CC-000194,Packaging,Low,Approved,2025-10-28
195,265,15,CC-000195,Process,Medium,Proposed,2025-02-05
196,271,74,CC-000196,Method,Low,Proposed,2025-03-17
197,205,65,CC-000197,Specification,Low,Implemented,2025-07-15
198,159,24,CC-000198,Method,Low,Implemented,2024-06-12
199,44,79,CC-000199,Specification,Low,Implemented,2026-04-05
200,112,65,CC-000200,Specification,Low,Implemented,2025-10-07
201,145,48,CC-000201,Packaging,Low,Approved,2024-03-20
202,288,75,CC-000202,Specification,Medium,Approved,2025-03-18
203,41,10,CC-000203,Specification,High,Approved,2024-10-13
204,45,67,CC-000204,Specification,Low,Approved,2024-02-25
205,146,19,CC-000205,Method,Low,Rejected,2025-12-05
206,137,45,CC-000206,Method,High,Implemented,2026-04-12
207,49,17,CC-000207,Method,Low,Approved,2026-03-24
208,277,33,CC-000208,Supplier Site,Low,Approved,2025-10-27
209,228,45,CC-000209,Storage,High,Approved,2024-11-05
210,3,101,CC-000210,Specification,Low,Implemented,2025-07-27
211,96,93,CC-000211,Storage,Medium,Implemented,2024-08-18
212,240,96,CC-000212,Method,Low,Proposed,2024-06-22
213,173,105,CC-000213,Method,Medium,Implemented,2024-12-20
214,237,85,CC-000214,Storage,Low,Proposed,2024-12-19
215,118,115,CC-000215,Supplier Site,Medium,Implemented,2025-07-03
216,31,51,CC-000216,Supplier Site,High,Implemented,2024-02-26
217,65,113,CC-000217,Method,Low,Implemented,2024-12-09
218,206,56,CC-000218,Packaging,Low,Implemented,2026-02-11
219,90,63,CC-000219,Process,High,Implemented,2024-05-28
220,195,79,CC-000220,Supplier Site,Low,Implemented,2024-09-25
