complaint_id,material_id,supplier_id,complaint_number,complaint_type,severity,opened_date,status
1,205,50,CMP-000001,Performance,Minor,2025-04-11,Closed
2,283,58,CMP-000002,Appearance,Minor,2024-11-06,Closed
3,158,32,CMP-000003,Packaging,Minor,2024-02-14,Closed
4,102,110,CMP-000004,Contamination,Minor,2024-11-11,Closed
5,132,41,CMP-000005,Packaging,Major,2024-12-10,Closed
6,281,81,CMP-000006,Appearance,Major,2024-03-14,Closed
7,164,8,CMP-000007,Packaging,Minor,2025-03-11,Closed
8,39,2,CMP-000008,Appearance,Minor,2025-03-20,Closed
9,242,69,CMP-000009,Appearance,Minor,2024-09-20,Closed
10,250,29,CMP-000010,Appearance,Critical,2025-11-05,Closed
11,26,104,CMP-000011,Packaging,Major,2024-07-08,Closed
12,262,1,CMP-000012,Performance,Minor,2025-11-25,Closed
13,154,51,CMP-000013,Contamination,Major,2024-08-24,Closed
14,105,66,CMP-000014,Contamination,Critical,2025-12-05,Closed
15,222,116,CMP-000015,Contamination,Minor,2024-07-11,Open
16,125,43,CMP-000016,Contamination,Minor,2024-07-07,Closed
17,229,71,CMP-000017,Performance,Minor,2025-07-30,Closed
18,147,61,CMP-000018,Packaging,Minor,2025-12-27,Closed
19,103,56,CMP-000019,Appearance,Major,2024-10-15,Closed
20,41,101,CMP-000020,Packaging,Minor,2025-01-31,Closed
21,292,80,CMP-000021,Contamination,Major,2026-04-18,Closed
22,130,80,CMP-000022,Performance,Critical,2025-09-28,Closed
23,67,37,CMP-000023,Appearance,Minor,2025-11-28,Closed
24,139,79,CMP-000024,Appearance,Minor,2024-12-31,Closed
25,35,115,CMP-000025,Performance,Critical,2025-02-13,Closed
26,241,11,CMP-000026,Packaging,Minor,2025-09-18,Closed
27,163,77,CMP-000027,Packaging,Minor,2025-12-13,Open
28,269,82,CMP-000028,Packaging,Minor,2025-07-07,Open
29,260,12,CMP-000029,Appearance,Minor,2024-02-17,Closed
30,300,82,CMP-000030,Performance,Minor,2025-08-18,Closed
31,51,6,CMP-000031,Appearance,Minor,2024-08-28,Closed
32,189,115,CMP-000032,Appearance,Minor,2026-01-23,Closed
33,152,48,CMP-000033,Contamination,Major,2025-12-17,Closed
34,291,78,CMP-000034,Contamination,Minor,2025-05-02,Open
35,161,41,CMP-000035,Appearance,Critical,2024-06-03,Closed
36,110,46,CMP-000036,Appearance,Minor,2024-03-05,Closed
37,143,102,CMP-000037,Appearance,Minor,2025-06-01,Open
38,298,101,CMP-000038,Appearance,Minor,2024-06-08,Closed
39,29,111,CMP-000039,Performance,Major,2026-03-20,Closed
40,38,59,CMP-000040,Contamination,Major,2024-11-19,Open
41,68,10,CMP-000041,Packaging,Major,2024-02-14,Closed
42,71,49,CMP-000042,Documentation,Major,2024-02-17,Closed
43,200,17,CMP-000043,Performance,Minor,2025-07-12,Closed
44,109,14,CMP-000044,Documentation,Minor,2025-05-05,Closed
45,12,118,CMP-000045,Documentation,Minor,2025-02-23,Closed
46,70,71,CMP-000046,Packaging,Minor,2024-07-28,Closed
47,252,52,CMP-000047,Appearance,Minor,2026-04-09,Closed
