investigation_id,test_id,investigation_number,opened_date,severity,root_cause,status,eqms_record_id,closed_date
1,23487,INV-0000001,2026-02-02,Major,Sample Handling,Closed,EQMS-7342077,2026-04-05
2,85882,INV-0000002,2024-12-24,Major,Operator,Closed,EQMS-8051616,2025-02-18
3,98609,INV-0000003,2024-07-10,Major,Supplier,Closed,EQMS-1974695,2024-07-19
4,22192,INV-0000004,2025-09-21,Major,Supplier,Closed,EQMS-4136158,2025-09-26
5,99293,INV-0000005,2026-02-27,Major,Supplier,In Progress,EQMS-4121224,
6,32728,INV-0000006,2025-11-22,Major,Supplier,In Progress,EQMS-8511261,
7,105455,INV-0000007,2024-08-21,Major,Equipment,Open,EQMS-6126444,
8,96472,INV-0000008,2025-04-12,Major,Unknown,Open,EQMS-2418197,
9,73785,INV-0000009,2024-03-31,Minor,Sample Handling,Open,EQMS-7869984,
10,41251,INV-0000010,2024-10-05,Minor,Analytical Method,Closed,EQMS-5739852,2024-11-10
11,73499,INV-0000011,2025-10-14,Minor,Unknown,Closed,EQMS-7448870,2025-12-01
12,10341,INV-0000012,2025-03-02,Minor,Specification,Open,EQMS-0018441,
13,36420,INV-0000013,2024-08-02,Minor,Specification,Open,EQMS-9637196,
14,4356,INV-0000014,2025-11-15,Minor,Analytical Method,Closed,EQMS-2289699,2025-12-17
15,40049,INV-0000015,2025-10-29,Major,Analytical Method,Closed,EQMS-6630740,2025-11-24
16,33850,INV-0000016,2025-03-29,Major,Operator,Closed,EQMS-1570471,2025-04-05
17,103611,INV-0000017,2025-09-11,Critical,Analytical Method,Closed,EQMS-1871798,2025-11-09
18,114312,INV-0000018,2024-01-18,Major,Sample Handling,In Progress,EQMS-8564237,
19,80734,INV-0000019,2025-04-29,Critical,Specification,Closed,EQMS-7392427,2025-05-08
20,46127,INV-0000020,2024-08-28,Major,Sample Handling,Closed,EQMS-6886933,2024-10-26
21,27908,INV-0000021,2025-11-26,Major,Supplier,Closed,EQMS-9235435,2025-12-01
22,90467,INV-0000022,2025-12-18,Minor,Analytical Method,Closed,EQMS-5367113,2026-03-10
23,24303,INV-0000023,2024-03-30,Minor,Operator,Closed,EQMS-4628807,2024-05-18
24,102768,INV-0000024,2025-09-13,Major,Unknown,Closed,EQMS-3798489,2025-10-23
25,56639,INV-0000025,2024-07-02,Minor,Sample Handling,In Progress,EQMS-1634790,
26,65322,INV-0000026,2024-04-09,Major,Equipment,Closed,EQMS-0611745,2024-05-13
27,46176,INV-0000027,2025-02-21,Minor,Sample Handling,Open,EQMS-9448758,
28,91303,INV-0000028,2024-10-28,Major,Unknown,Closed,EQMS-9001204,2025-01-18
29,118123,INV-0000029,2024-09-09,Major,Sample Handling,Closed,EQMS-8257972,2024-11-06
30,51870,INV-0000030,2024-05-17,Major,Specification,Closed,EQMS-8776981,2024-05-22
