stability_result_id,material_id,method_id,condition,timepoint_month,result_numeric,status,tested_date
1,97,21,30C/65RH,6,86.6152,PASS,2024-08-28
2,166,16,2-8C,3,95.369,PASS,2025-12-26
3,123,17,2-8C,6,90.9174,PASS,2024-02-16
4,159,20,25C/60RH,36,99.0423,PASS,2025-12-16
5,254,18,2-8C,18,91.2271,PASS,2025-11-05
6,231,17,30C/65RH,36,103.3526,PASS,2025-04-25
7,268,16,40C/75RH,24,90.5123,OOS,2025-11-06
8,215,36,25C/60RH,36,90.2399,PASS,2024-11-07
9,208,28,25C/60RH,18,100.7763,PASS,2025-01-30
10,252,42,2-8C,36,81.9272,PASS,2026-03-09
11,5,26,40C/75RH,36,83.6062,PASS,2025-05-05
12,162,12,30C/65RH,12,101.151,PASS,2024-12-12
13,52,24,30C/65RH,1,92.2315,PASS,2024-09-04
14,196,17,40C/75RH,36,105.1751,PASS,2025-05-16
15,174,39,30C/65RH,18,91.5982,OOS,2024-01-12
16,181,25,40C/75RH,36,89.4724,PASS,2024-08-29
17,220,21,40C/75RH,6,90.9282,PASS,2024-08-12
18,79,16,25C/60RH,9,109.9495,PASS,2025-04-18
19,125,33,40C/75RH,0,93.3548,PASS,2024-05-29
20,224,43,25C/60RH,3,84.3067,PASS,2024-05-26
21,18,39,2-8C,1,95.5265,PASS,2024-04-24
22,3,39,25C/60RH,0,102.7185,PASS,2024-02-02
23,230,43,30C/65RH,3,109.2178,OOS,2024-12-07
24,217,38,40C/75RH,9,100.9252,PASS,2024-08-29
25,172,45,25C/60RH,9,93.6436,PASS,2025-09-11
26,297,12,25C/60RH,12,88.6499,PASS,2025-01-23
27,300,3,40C/75RH,36,87.9456,PASS,2025-04-19
28,22,3,40C/75RH,24,100.1449,PASS,2025-07-14
29,134,20,2-8C,36,92.0439,PASS,2025-04-24
30,78,40,30C/65RH,6,85.1371,PASS,2024-01-14
31,36,38,25C/60RH,9,93.9542,PASS,2025-07-16
32,116,27,2-8C,24,101.6693,PASS,2024-01-25
33,132,10,2-8C,18,98.7778,PASS,2025-04-21
34,243,35,25C/60RH,9,95.262,PASS,2024-07-22
35,278,9,25C/60RH,0,86.762,PASS,2025-02-12
36,94,24,30C/65RH,9,86.8763,PASS,2025-08-16
37,77,7,2-8C,18,92.4964,PASS,2025-02-27
38,191,35,30C/65RH,9,105.7682,PASS,2026-01-03
39,185,31,2-8C,3,95.524,PASS,2025-03-19
40,66,38,40C/75RH,3,87.1728,PASS,2024-01-18
41,155,30,30C/65RH,6,96.2519,PASS,2024-08-05
42,172,30,40C/75RH,9,91.7355,PASS,2025-03-20
43,44,29,2-8C,9,91.7981,OOT,2024-01-13
44,151,11,2-8C,3,103.1904,PASS,2025-11-14
45,161,36,2-8C,3,98.8299,PASS,2025-05-29
46,231,8,2-8C,1,97.2534,PASS,2025-08-22
47,108,14,25C/60RH,1,87.0903,PASS,2026-03-06
48,23,45,25C/60RH,1,85.0399,PASS,2024-02-25
49,149,29,25C/60RH,0,87.9347,PASS,2024-07-28
50,203,26,2-8C,6,95.334,PASS,2024-03-24
51,132,45,30C/65RH,3,88.2524,PASS,2026-03-24
52,73,28,25C/60RH,36,98.5534,PASS,2025-09-25
53,136,30,25C/60RH,0,100.0171,PASS,2024-12-02
54,125,28,25C/60RH,0,97.1881,OOT,2024-01-16
55,262,2,30C/65RH,9,104.6901,PASS,2024-12-27
56,5,33,30C/65RH,24,104.6804,PASS,2025-11-03
57,243,31,40C/75RH,9,105.788,PASS,2026-03-22
58,183,25,40C/75RH,3,85.7211,PASS,2024-06-09
59,242,37,25C/60RH,0,88.1429,PASS,2025-12-26
60,272,30,30C/65RH,24,97.4929,PASS,2024-02-14
61,1,19,2-8C,24,94.5333,PASS,2026-01-02
62,277,40,30C/65RH,0,112.1826,PASS,2025-12-18
63,4,41,25C/60RH,18,86.9583,PASS,2025-06-04
64,66,25,30C/65RH,24,97.8599,OOT,2024-04-17
65,291,8,25C/60RH,36,93.6437,PASS,2025-01-03
66,197,25,2-8C,1,98.2956,OOS,2025-08-05
67,210,18,40C/75RH,6,88.4529,PASS,2024-02-27
68,85,11,25C/60RH,9,101.0385,PASS,2024-09-12
69,137,34,40C/75RH,0,83.1645,PASS,2026-03-22
70,9,20,40C/75RH,18,88.9658,PASS,2024-11-23
71,139,37,40C/75RH,0,108.1764,PASS,2024-09-27
72,188,40,2-8C,36,99.1024,OOS,2025-02-02
73,190,43,40C/75RH,0,104.326,PASS,2025-07-17
74,61,4,25C/60RH,12,97.4133,PASS,2025-03-10
75,201,16,2-8C,9,87.4477,PASS,2026-03-31
76,212,13,40C/75RH,24,90.8857,PASS,2024-11-25
77,251,1,2-8C,36,91.8406,PASS,2026-03-13
78,7,4,25C/60RH,24,99.2664,PASS,2025-06-02
79,237,15,25C/60RH,3,97.917,PASS,2025-06-16
80,266,10,2-8C,12,93.9408,PASS,2024-06-16
81,106,36,30C/65RH,9,109.1703,PASS,2025-05-25
82,131,36,40C/75RH,1,101.262,PASS,2025-07-28
83,89,20,2-8C,0,110.9712,PASS,2024-04-25
84,88,11,2-8C,6,100.6447,PASS,2024-10-23
85,239,24,30C/65RH,1,101.992,PASS,2025-12-16
86,114,31,40C/75RH,24,103.9781,OOT,2024-05-10
87,229,25,2-8C,6,90.4685,PASS,2025-10-27
88,10,9,2-8C,9,96.2708,PASS,2024-04-06
89,268,16,30C/65RH,1,92.4169,PASS,2026-03-15
90,102,24,2-8C,9,98.9709,PASS,2024-08-06
91,162,20,2-8C,6,98.5455,PASS,2024-12-24
92,137,7,25C/60RH,6,106.3996,PASS,2024-08-08
93,142,19,2-8C,1,104.3781,PASS,2024-12-01
94,107,14,30C/65RH,12,98.7001,PASS,2024-11-24
95,261,31,30C/65RH,6,91.7469,PASS,2024-09-02
96,138,3,30C/65RH,36,75.5871,PASS,2026-04-28
97,2,45,30C/65RH,6,93.2339,PASS,2026-02-25
98,229,3,30C/65RH,6,102.5033,OOT,2025-12-03
99,126,45,30C/65RH,3,87.9609,PASS,2026-03-16
100,228,4,2-8C,12,87.1354,PASS,2024-11-03
101,194,8,25C/60RH,6,99.9911,PASS,2025-11-11
102,190,22,30C/65RH,3,100.4534,PASS,2025-04-25
103,232,26,40C/75RH,1,87.4927,PASS,2025-08-06
104,85,4,25C/60RH,24,91.0562,PASS,2025-01-26
105,280,6,2-8C,12,99.7761,PASS,2026-03-20
106,240,31,40C/75RH,1,95.3398,PASS,2024-12-03
107,299,12,2-8C,9,95.3018,PASS,2025-03-06
108,287,4,25C/60RH,3,95.9155,OOS,2025-05-26
109,88,24,30C/65RH,3,100.7104,PASS,2026-01-07
110,138,4,30C/65RH,0,106.4435,PASS,2025-10-27
111,141,14,25C/60RH,9,93.8781,PASS,2025-05-19
112,146,18,25C/60RH,6,88.8894,PASS,2025-01-24
113,226,10,30C/65RH,3,95.9984,PASS,2026-02-20
114,270,9,40C/75RH,0,98.8088,PASS,2025-06-24
115,207,5,30C/65RH,12,98.4205,OOT,2024-05-27
116,249,2,30C/65RH,0,105.0044,PASS,2026-01-24
117,275,16,30C/65RH,36,93.6533,PASS,2025-03-28
118,46,31,40C/75RH,24,105.5004,PASS,2024-04-09
119,221,37,25C/60RH,36,94.5971,PASS,2025-07-30
120,116,9,40C/75RH,1,117.0865,PASS,2025-03-15
121,41,28,30C/65RH,3,100.6178,PASS,2024-09-16
122,292,41,40C/75RH,6,92.2989,PASS,2025-10-21
123,14,40,30C/65RH,12,89.4101,PASS,2024-11-07
124,236,14,25C/60RH,3,99.6323,PASS,2025-03-06
125,85,2,25C/60RH,3,95.3937,PASS,2024-11-30
126,27,22,2-8C,1,99.9068,PASS,2025-03-31
127,50,7,30C/65RH,1,80.2889,PASS,2024-08-07
128,291,45,30C/65RH,1,94.2185,PASS,2025-07-01
129,167,30,30C/65RH,6,84.3665,PASS,2024-12-13
130,280,36,40C/75RH,0,99.7136,PASS,2024-04-15
131,170,26,25C/60RH,6,94.1741,PASS,2025-06-30
132,197,30,2-8C,1,90.3747,PASS,2025-09-08
133,12,27,2-8C,36,95.4323,PASS,2025-12-19
134,298,35,25C/60RH,36,90.1498,PASS,2025-12-11
135,152,23,40C/75RH,24,94.7458,PASS,2025-11-26
136,63,32,30C/65RH,0,112.3926,PASS,2025-08-30
